Date,Open,High,Low,Close,Adj Close,Volume
2016-08-01,6.000000,6.500000,5.650000,6.150000,6.150000,396432
2016-08-02,6.250000,6.400000,6.000000,6.050000,6.050000,168158
2016-08-03,6.150000,6.250000,5.700000,5.850000,5.850000,229467
2016-08-04,6.000000,6.150000,5.750000,5.800000,5.800000,185076
2016-08-05,5.800000,6.150000,5.750000,5.850000,5.850000,278947
2016-08-08,6.350000,6.350000,5.900000,5.950000,5.950000,150219
2016-08-09,5.950000,6.050000,5.700000,5.850000,5.850000,353427
2016-08-10,5.900000,6.000000,5.550000,5.600000,5.600000,212348
2016-08-11,5.750000,5.750000,5.100000,5.600000,5.600000,260768
2016-08-12,5.500000,5.850000,5.500000,5.600000,5.600000,149694
2016-08-16,5.350000,5.750000,5.300000,5.450000,5.450000,173319
2016-08-17,5.100000,5.500000,5.050000,5.150000,5.150000,306481
2016-08-18,5.050000,5.300000,5.000000,5.100000,5.100000,152633
2016-08-19,5.200000,5.200000,4.750000,4.850000,4.850000,363229
2016-08-22,4.900000,5.050000,4.800000,4.950000,4.950000,192874
2016-08-23,4.850000,5.100000,4.850000,4.950000,4.950000,93291
2016-08-24,5.000000,5.150000,4.700000,4.800000,4.800000,315792
2016-08-25,4.850000,5.050000,4.750000,4.950000,4.950000,122432
2016-08-26,5.050000,5.050000,4.800000,4.950000,4.950000,44991
2016-08-29,4.850000,4.950000,4.800000,4.850000,4.850000,85711
2016-08-30,4.900000,5.000000,4.800000,4.800000,4.800000,89814
2016-08-31,4.750000,4.950000,4.750000,4.850000,4.850000,57598
2016-09-01,4.850000,4.900000,4.700000,4.800000,4.800000,85778
2016-09-02,4.850000,4.950000,4.750000,4.750000,4.750000,60129
2016-09-06,4.850000,4.850000,4.600000,4.700000,4.700000,133136
2016-09-07,4.700000,4.900000,4.650000,4.750000,4.750000,254125
2016-09-08,4.750000,5.050000,4.700000,4.900000,4.900000,204436
2016-09-09,5.000000,5.300000,4.850000,5.200000,5.200000,267188
2016-09-12,5.200000,5.300000,5.000000,5.050000,5.050000,105426
2016-09-14,5.200000,5.300000,4.950000,5.000000,5.000000,70538
2016-09-15,5.000000,5.550000,5.000000,5.350000,5.350000,154499
2016-09-16,5.550000,5.550000,5.200000,5.250000,5.250000,199015
2016-09-19,5.250000,5.450000,5.200000,5.200000,5.200000,91312
2016-09-20,5.200000,5.250000,5.050000,5.150000,5.150000,100380
2016-09-21,5.100000,5.200000,5.000000,5.050000,5.050000,106324
2016-09-22,5.150000,5.200000,5.050000,5.100000,5.100000,50513
2016-09-23,5.050000,5.250000,5.000000,5.200000,5.200000,136376
2016-09-26,5.250000,5.250000,5.000000,5.150000,5.150000,106015
2016-09-27,5.100000,5.400000,5.050000,5.100000,5.100000,146697
2016-09-28,5.250000,5.400000,5.050000,5.300000,5.300000,173741
2016-09-29,5.300000,5.300000,4.250000,4.650000,4.650000,771576
2016-09-30,4.650000,4.900000,4.600000,4.700000,4.700000,193269
2016-10-03,4.800000,5.000000,4.800000,4.850000,4.850000,105112
2016-10-04,4.900000,4.950000,4.700000,4.800000,4.800000,171405
2016-10-05,4.800000,5.050000,4.750000,4.950000,4.950000,335028
2016-10-06,4.800000,5.100000,4.800000,4.900000,4.900000,190455
2016-10-07,5.000000,5.000000,4.850000,4.900000,4.900000,63509
2016-10-10,4.900000,5.000000,4.850000,5.000000,5.000000,117141
2016-10-13,5.000000,5.000000,4.650000,4.750000,4.750000,209058
2016-10-14,4.850000,5.000000,4.650000,4.950000,4.950000,434089
2016-10-17,4.950000,5.150000,4.850000,5.000000,5.000000,133852
2016-10-18,4.900000,5.900000,4.900000,5.650000,5.650000,879140
2016-10-19,5.650000,5.750000,5.350000,5.400000,5.400000,274114
2016-10-20,5.550000,5.600000,5.450000,5.550000,5.550000,155386
2016-10-21,5.450000,5.650000,5.350000,5.450000,5.450000,138807
2016-10-24,5.350000,5.650000,5.200000,5.300000,5.300000,194700
2016-10-25,5.300000,5.400000,5.150000,5.350000,5.350000,306010
2016-10-26,5.250000,5.850000,5.250000,5.400000,5.400000,376837
2016-10-27,5.450000,5.500000,5.150000,5.300000,5.300000,199229
2016-10-28,5.250000,5.400000,5.200000,5.250000,5.250000,95035
2016-11-01,5.300000,5.400000,5.100000,5.300000,5.300000,273065
2016-11-02,5.300000,5.300000,5.050000,5.200000,5.200000,220433
2016-11-03,5.200000,5.800000,5.200000,5.500000,5.500000,593069
2016-11-04,5.400000,5.550000,5.100000,5.200000,5.200000,305078
2016-11-07,5.200000,5.400000,5.150000,5.200000,5.200000,92720
2016-11-08,5.350000,5.350000,5.100000,5.150000,5.150000,116578
2016-11-09,4.250000,5.000000,4.250000,4.950000,4.950000,274812
2016-11-10,5.000000,5.200000,5.000000,5.050000,5.050000,116280
2016-11-11,5.000000,5.150000,4.750000,4.800000,4.800000,100946
2016-11-15,4.800000,4.800000,4.350000,4.500000,4.500000,199638
2016-11-16,4.500000,4.750000,4.500000,4.600000,4.600000,110557
2016-11-17,4.650000,5.000000,4.500000,4.550000,4.550000,99437
2016-11-18,4.450000,4.600000,4.300000,4.300000,4.300000,156966
2016-11-21,4.200000,4.500000,3.750000,3.950000,3.950000,493878
2016-11-22,4.000000,4.100000,3.950000,4.000000,4.000000,41548
2016-11-23,4.000000,4.200000,3.800000,4.150000,4.150000,81004
2016-11-24,4.100000,4.150000,4.050000,4.100000,4.100000,81921
2016-11-25,4.050000,4.300000,4.050000,4.250000,4.250000,122437
2016-11-28,4.150000,4.350000,4.150000,4.300000,4.300000,54009
2016-11-29,4.400000,4.700000,4.300000,4.550000,4.550000,130650
2016-11-30,4.700000,4.700000,4.400000,4.550000,4.550000,81079
2016-12-01,4.450000,4.600000,4.200000,4.450000,4.450000,128244
2016-12-02,4.350000,4.450000,4.250000,4.300000,4.300000,93418
2016-12-05,4.250000,4.450000,4.200000,4.250000,4.250000,132950
2016-12-06,4.250000,4.750000,4.200000,4.550000,4.550000,235314
2016-12-07,4.450000,4.750000,4.400000,4.500000,4.500000,152480
2016-12-08,4.500000,4.700000,4.400000,4.550000,4.550000,128228
2016-12-09,4.450000,4.550000,4.450000,4.500000,4.500000,36338
2016-12-12,4.300000,4.500000,4.300000,4.400000,4.400000,37955
2016-12-13,4.350000,4.500000,4.300000,4.350000,4.350000,74066
2016-12-14,4.500000,4.700000,4.300000,4.450000,4.450000,101134
2016-12-15,4.500000,4.550000,4.350000,4.400000,4.400000,47007
2016-12-16,4.500000,4.500000,4.300000,4.350000,4.350000,62549
2016-12-19,4.250000,4.400000,4.250000,4.300000,4.300000,99978
2016-12-20,4.300000,4.400000,4.250000,4.250000,4.250000,37185
2016-12-21,4.300000,4.350000,4.100000,4.150000,4.150000,122692
2016-12-22,4.250000,4.300000,3.800000,4.100000,4.100000,228281
2016-12-23,4.050000,4.200000,4.000000,4.100000,4.100000,41968
2016-12-26,4.100000,4.200000,3.900000,3.950000,3.950000,182180
2016-12-27,4.050000,4.100000,3.950000,4.000000,4.000000,84855
2016-12-28,4.000000,4.150000,3.800000,3.950000,3.950000,171317
2016-12-29,3.950000,4.000000,3.900000,3.950000,3.950000,73927
2016-12-30,4.050000,4.050000,3.950000,3.950000,3.950000,104468
2017-01-02,4.000000,4.100000,4.000000,4.050000,4.050000,143841
2017-01-03,4.050000,4.250000,4.000000,4.150000,4.150000,160237
2017-01-04,4.200000,4.250000,4.150000,4.200000,4.200000,150693
2017-01-05,4.350000,4.350000,4.200000,4.250000,4.250000,110635
2017-01-06,4.250000,4.300000,4.200000,4.200000,4.200000,42971
2017-01-09,4.200000,4.300000,4.200000,4.250000,4.250000,55643
2017-01-10,4.300000,4.600000,4.200000,4.400000,4.400000,185556
2017-01-11,4.400000,4.550000,4.300000,4.350000,4.350000,116299
2017-01-12,4.450000,4.450000,4.300000,4.350000,4.350000,30415
2017-01-13,4.450000,4.550000,4.350000,4.500000,4.500000,126108
2017-01-16,4.600000,4.600000,4.450000,4.500000,4.500000,74800
2017-01-17,4.500000,4.600000,4.400000,4.450000,4.450000,25691
2017-01-18,4.400000,4.600000,4.400000,4.550000,4.550000,55558
2017-01-19,4.550000,4.600000,4.350000,4.400000,4.400000,56036
2017-01-20,4.400000,4.450000,4.300000,4.350000,4.350000,114234
2017-01-23,4.500000,4.550000,4.300000,4.500000,4.500000,150566
2017-01-24,4.650000,4.650000,4.350000,4.350000,4.350000,37571
2017-01-25,4.350000,4.500000,4.250000,4.250000,4.250000,154776
2017-01-27,4.300000,4.450000,4.100000,4.200000,4.200000,211299
2017-01-30,4.250000,4.350000,4.200000,4.200000,4.200000,63375
2017-01-31,4.200000,4.750000,4.150000,4.500000,4.500000,424062
2017-02-01,4.700000,4.700000,4.350000,4.500000,4.500000,78605
2017-02-02,4.550000,4.700000,4.400000,4.600000,4.600000,172495
