Date,Open,High,Low,Close,Adj Close,Volume
2016-08-01,264.649994,269.100006,263.000000,265.500000,248.609268,113194
2016-08-02,266.950012,274.899994,265.700012,273.200012,255.819412,176125
2016-08-03,274.950012,277.500000,265.100006,267.100006,250.107498,154582
2016-08-04,272.000000,275.500000,268.700012,272.450012,255.117126,122986
2016-08-05,273.850006,274.899994,268.500000,272.899994,255.538467,74449
2016-08-08,267.450012,269.799988,261.100006,268.000000,250.950195,483813
2016-08-09,270.350006,270.450012,261.950012,263.600006,246.830154,86604
2016-08-10,263.000000,267.500000,255.500000,257.049988,240.696823,115241
2016-08-11,259.799988,263.450012,256.950012,260.950012,244.348724,98724
2016-08-12,262.899994,270.000000,261.799988,267.549988,250.528839,136332
2016-08-16,268.750000,271.399994,265.450012,266.700012,249.732941,51709
2016-08-17,266.600006,277.000000,265.200012,275.500000,257.973083,89036
2016-08-18,278.000000,284.950012,275.750000,283.600006,265.557739,107253
2016-08-19,283.750000,285.000000,280.799988,284.100006,266.025940,49255
2016-08-22,283.149994,284.850006,274.799988,275.549988,258.019867,27132
2016-08-23,276.000000,277.299988,268.200012,270.000000,252.822983,150829
2016-08-24,274.750000,284.000000,273.049988,283.200012,265.183228,78356
2016-08-25,284.700012,288.799988,278.500000,279.100006,261.344086,84275
2016-08-26,280.049988,282.899994,271.000000,271.950012,254.648911,43109
2016-08-29,273.049988,282.399994,272.500000,280.000000,262.186768,57907
2016-08-30,280.350006,282.399994,274.250000,275.649994,258.113525,32100
2016-08-31,275.649994,284.950012,273.100006,280.700012,262.842285,108639
2016-09-01,280.049988,281.950012,275.100006,276.799988,259.190338,21527
2016-09-02,275.299988,280.149994,268.200012,271.549988,254.274338,50057
2016-09-06,271.549988,279.899994,270.100006,279.049988,261.297211,89987
2016-09-07,278.899994,279.399994,272.100006,272.850006,255.491669,22078
2016-09-08,273.000000,280.000000,272.850006,278.399994,260.688568,28473
2016-09-09,279.000000,288.000000,278.000000,284.549988,266.447327,159472
2016-09-12,280.500000,280.500000,272.100006,274.950012,257.458099,24505
2016-09-14,273.500000,278.149994,271.250000,272.700012,255.351227,75152
2016-09-15,273.149994,277.750000,271.799988,273.100006,255.725769,297739
2016-09-16,273.649994,275.500000,256.000000,257.649994,241.258682,195341
2016-09-19,260.000000,270.000000,260.000000,263.250000,246.502411,84988
2016-09-20,266.950012,266.950012,260.100006,261.350006,244.723282,28257
2016-09-21,261.149994,266.799988,259.000000,260.299988,243.740036,33036
2016-09-22,265.649994,265.649994,260.000000,263.250000,246.502411,417073
2016-09-23,265.899994,265.899994,256.700012,258.299988,241.867279,162860
2016-09-26,259.850006,262.799988,250.600006,254.800003,238.589981,178527
2016-09-27,254.800003,264.000000,254.800003,260.250000,243.693253,211426
2016-09-28,262.000000,262.649994,255.000000,258.700012,242.241867,27989
2016-09-29,263.399994,263.950012,250.000000,255.600006,239.339081,61360
2016-09-30,253.050003,258.049988,246.000000,251.699997,235.687195,89903
2016-10-03,254.000000,258.600006,254.000000,255.000000,238.777252,153327
2016-10-04,258.299988,260.799988,248.000000,249.800003,233.908066,125837
2016-10-05,247.350006,264.700012,247.350006,264.000000,247.204666,143082
2016-10-06,262.799988,266.700012,260.200012,264.000000,247.204666,89057
2016-10-07,264.000000,266.450012,256.000000,257.000000,240.650024,568519
2016-10-10,258.350006,262.250000,258.000000,258.399994,241.960938,559928
2016-10-13,252.100006,254.949997,249.000000,252.000000,235.968109,140679
2016-10-14,258.299988,260.799988,251.399994,257.700012,241.305481,747615
2016-10-17,259.799988,262.000000,250.649994,253.199997,237.091766,58515
2016-10-18,257.000000,259.899994,255.649994,256.350006,240.041367,142907
2016-10-19,258.950012,259.100006,252.000000,252.899994,236.810837,206380
2016-10-20,252.899994,255.350006,250.600006,252.000000,235.968109,90167
2016-10-21,253.550003,253.600006,250.649994,251.899994,235.874481,95274
2016-10-24,254.000000,259.799988,252.800003,253.850006,237.700439,128535
2016-10-25,255.350006,255.350006,250.550003,253.000000,236.904495,56043
2016-10-26,254.550003,257.950012,243.100006,247.300003,231.567123,433172
2016-10-27,248.949997,251.800003,243.500000,250.250000,234.329453,97713
2016-10-28,251.399994,251.750000,245.100006,247.050003,231.333023,60867
2016-11-01,246.500000,252.800003,245.000000,245.750000,230.115723,64598
2016-11-02,245.949997,245.949997,240.000000,243.250000,227.774765,70442
2016-11-03,243.000000,246.699997,237.000000,238.750000,223.561066,75743
2016-11-04,240.300003,241.600006,230.199997,231.000000,216.304092,604777
2016-11-07,234.600006,237.899994,222.750000,233.300003,218.457779,564044
2016-11-08,236.399994,254.649994,236.100006,250.350006,234.423080,217435
