Date,Open,High,Low,Close,Adj Close,Volume
2016-08-01,15.350000,15.350000,13.350000,14.350000,14.350000,10502
2016-08-02,14.050000,14.600000,13.200000,13.650000,13.650000,17426
2016-08-03,13.200000,13.300000,12.700000,12.800000,12.800000,8509
2016-08-04,13.400000,13.400000,12.650000,12.850000,12.850000,5327
2016-08-05,12.700000,12.900000,12.300000,12.600000,12.600000,18893
2016-08-08,12.200000,12.450000,11.400000,11.950000,11.950000,7755
2016-08-09,11.800000,12.650000,11.200000,12.550000,12.550000,6463
2016-08-10,13.500000,13.500000,12.200000,12.450000,12.450000,4560
2016-08-11,12.000000,12.500000,11.450000,11.500000,11.500000,5516
2016-08-12,11.000000,12.000000,10.850000,11.800000,11.800000,2417
2016-08-16,11.400000,12.150000,11.100000,11.500000,11.500000,1407
2016-08-17,12.400000,12.400000,11.150000,11.600000,11.600000,1116
2016-08-18,11.500000,12.200000,11.500000,11.500000,11.500000,1292
2016-08-19,11.900000,11.900000,11.300000,11.550000,11.550000,875
2016-08-22,11.000000,11.800000,10.450000,10.750000,10.750000,3338
2016-08-23,11.600000,12.900000,10.500000,12.900000,12.900000,24011
2016-08-24,13.900000,15.450000,13.900000,15.450000,15.450000,76471
2016-08-25,16.299999,17.650000,15.550000,16.049999,16.049999,69316
2016-08-26,15.850000,15.850000,15.050000,15.250000,15.250000,5272
2016-08-29,14.300000,15.800000,12.400000,14.200000,14.200000,13874
2016-08-30,14.200000,14.500000,13.650000,14.000000,14.000000,4426
2016-08-31,14.200000,14.200000,13.500000,13.500000,13.500000,4513
2016-09-01,13.550000,14.000000,13.500000,13.750000,13.750000,5893
2016-09-02,14.400000,14.400000,13.500000,13.900000,13.900000,1157
2016-09-06,14.400000,14.400000,13.750000,13.800000,13.800000,1832
2016-09-07,14.300000,14.300000,13.400000,13.800000,13.800000,3376
2016-09-08,13.700000,14.450000,12.800000,13.750000,13.750000,4239
2016-09-09,13.700000,14.500000,13.100000,13.500000,13.500000,5223
2016-09-12,13.400000,14.200000,12.600000,13.700000,13.700000,1501
2016-09-14,12.500000,13.600000,12.500000,13.350000,13.350000,846
2016-09-15,13.050000,13.750000,12.100000,12.750000,12.750000,12995
2016-09-16,12.750000,14.000000,12.250000,13.050000,13.050000,10622
2016-09-19,12.950000,13.250000,12.550000,13.050000,13.050000,1733
2016-09-20,13.000000,13.000000,12.500000,12.750000,12.750000,3392
2016-09-21,12.500000,13.400000,12.200000,13.300000,13.300000,1827
2016-09-22,13.000000,14.000000,12.650000,13.000000,13.000000,1475
2016-09-23,13.200000,13.250000,13.000000,13.000000,13.000000,968
2016-09-26,12.800000,12.900000,12.400000,12.750000,12.750000,2430
2016-09-27,12.500000,13.000000,12.400000,12.800000,12.800000,1836
2016-09-28,12.500000,13.000000,12.500000,12.750000,12.750000,1047
2016-09-29,12.700000,12.700000,11.950000,12.500000,12.500000,2283
2016-09-30,12.300000,13.800000,12.300000,13.250000,13.250000,2813
2016-10-03,13.250000,13.400000,12.200000,12.350000,12.350000,5158
2016-10-04,12.350000,13.000000,11.300000,12.600000,12.600000,5490
2016-10-05,12.000000,13.200000,11.450000,12.750000,12.750000,7695
2016-10-06,12.700000,14.750000,11.800000,13.800000,13.800000,11941
2016-10-07,13.600000,14.500000,13.100000,14.300000,14.300000,11329
2016-10-10,14.300000,14.300000,13.250000,13.950000,13.950000,458
2016-10-13,13.700000,14.000000,12.650000,13.700000,13.700000,2220
2016-10-14,14.500000,14.600000,13.400000,13.450000,13.450000,1673
2016-10-17,14.000000,14.100000,12.800000,13.000000,13.000000,4225
2016-10-18,14.450000,14.450000,13.000000,13.100000,13.100000,5366
2016-10-19,14.450000,15.450000,13.950000,14.550000,14.550000,79108
2016-10-20,14.300000,17.000000,14.100000,15.400000,15.400000,90491
2016-10-21,15.700000,17.450001,15.300000,16.900000,16.900000,59180
2016-10-24,16.200001,18.250000,15.900000,17.600000,17.600000,61350
2016-10-25,18.100000,18.100000,16.400000,16.950001,16.950001,8913
2016-10-26,17.000000,17.000000,16.200001,16.500000,16.500000,6084
2016-10-27,16.799999,16.799999,15.250000,16.299999,16.299999,3231
2016-10-28,16.000000,16.950001,15.500000,15.750000,15.750000,4877
2016-11-01,16.500000,16.799999,15.900000,16.000000,16.000000,4464
2016-11-02,16.750000,16.750000,15.050000,15.300000,15.300000,6702
2016-11-03,16.000000,17.900000,15.400000,16.049999,16.049999,9471
2016-11-04,17.000000,17.000000,15.800000,16.049999,16.049999,8172
2016-11-07,16.100000,16.250000,15.850000,15.950000,15.950000,5724
2016-11-08,16.650000,16.700001,15.500000,15.700000,15.700000,3884
2016-11-09,12.600000,15.900000,12.600000,15.200000,15.200000,10209
2016-11-10,15.450000,15.650000,15.400000,15.650000,15.650000,1847
2016-11-11,15.300000,15.900000,14.100000,14.450000,14.450000,6843
2016-11-15,14.000000,14.000000,12.050000,13.050000,13.050000,4173
2016-11-16,13.250000,13.600000,12.800000,13.550000,13.550000,1895
2016-11-17,13.550000,13.550000,12.600000,13.200000,13.200000,363
2016-11-18,12.800000,13.400000,12.600000,12.850000,12.850000,3447
2016-11-21,12.000000,12.500000,11.500000,11.800000,11.800000,1991
2016-11-22,11.700000,12.100000,11.700000,12.000000,12.000000,74
2016-11-23,11.900000,13.150000,11.900000,12.550000,12.550000,3253
2016-11-24,12.400000,13.000000,11.600000,12.250000,12.250000,3516
2016-11-25,13.300000,13.350000,12.950000,13.150000,13.150000,1184
2016-11-28,13.150000,13.200000,12.150000,12.600000,12.600000,4580
2016-11-29,12.600000,13.400000,12.550000,13.300000,13.300000,2050
2016-11-30,14.200000,14.200000,12.850000,13.350000,13.350000,2370
2016-12-01,13.100000,14.000000,12.800000,13.150000,13.150000,2730
2016-12-02,14.800000,14.800000,13.300000,13.350000,13.350000,6461
