Date,Open,High,Low,Close,Adj Close,Volume
2016-08-01,18.750000,20.200001,18.500000,18.700001,18.080795,285763
2016-08-02,18.700001,19.299999,18.200001,18.350000,17.742384,216059
2016-08-03,18.350000,18.350000,17.299999,17.700001,17.113909,259503
2016-08-04,17.900000,18.250000,17.299999,17.600000,17.017220,126260
2016-08-05,17.900000,18.900000,17.600000,18.200001,17.597351,251791
2016-08-08,18.200001,18.400000,17.500000,17.600000,17.017220,144028
2016-08-09,17.500000,17.500000,15.700000,16.049999,15.518542,477772
2016-08-10,16.000000,16.400000,15.150000,15.400000,14.890066,192631
2016-08-11,15.500000,15.550000,14.600000,14.800000,14.309934,113038
2016-08-12,14.350000,15.000000,12.100000,13.900000,13.439734,368292
2016-08-16,13.200000,14.500000,13.200000,14.250000,13.778146,139673
2016-08-17,14.450000,14.650000,13.250000,13.400000,12.956291,173425
2016-08-18,13.400000,16.049999,13.250000,16.049999,15.518542,598677
2016-08-19,16.100000,16.900000,15.500000,15.650000,15.131787,462766
2016-08-22,15.400000,15.800000,14.950000,15.050000,14.551656,123373
2016-08-23,14.900000,15.500000,14.650000,14.950000,14.454967,128615
2016-08-24,14.600000,15.500000,14.600000,14.950000,14.454967,85424
2016-08-25,15.300000,15.450000,14.550000,14.650000,14.164900,93873
2016-08-26,14.850000,15.250000,14.100000,14.400000,13.923179,108664
2016-08-29,14.500000,14.600000,14.050000,14.250000,13.778146,72838
2016-08-30,14.400000,14.800000,14.300000,14.550000,14.068213,93241
2016-08-31,14.800000,15.900000,14.400000,15.350000,14.841722,201498
2016-09-01,15.350000,15.650000,14.650000,14.700000,14.213244,64874
2016-09-02,14.750000,15.000000,14.400000,14.650000,14.164900,43171
2016-09-06,14.800000,15.100000,14.100000,14.400000,13.923179,75405
2016-09-07,14.200000,15.000000,14.200000,14.600000,14.116556,40611
2016-09-08,14.500000,14.900000,14.050000,14.100000,13.633113,64979
2016-09-09,14.150000,15.250000,14.000000,14.450000,13.971523,157148
2016-09-12,14.400000,14.450000,12.300000,13.750000,13.294702,120040
2016-09-14,14.350000,14.400000,13.300000,13.750000,13.294702,54316
2016-09-15,13.900000,14.200000,13.800000,13.950000,13.488079,37843
2016-09-16,14.200000,15.750000,13.850000,14.850000,14.358278,308443
2016-09-19,15.000000,16.299999,15.000000,15.550000,15.035099,285469
2016-09-20,15.600000,15.900000,15.100000,15.450000,14.938411,80137
2016-09-21,15.500000,15.650000,14.000000,14.850000,14.358278,74021
2016-09-22,14.700000,15.700000,14.350000,15.350000,14.841722,51224
2016-09-23,15.450000,15.450000,14.750000,14.950000,14.454967,31074
2016-09-26,15.200000,15.200000,14.400000,14.550000,14.068213,30629
2016-09-27,14.850000,15.000000,14.600000,14.700000,14.213244,33195
2016-09-28,14.700000,15.100000,14.400000,14.600000,14.116556,35618
2016-09-29,14.850000,14.950000,13.800000,13.950000,13.488079,156732
2016-09-30,13.750000,14.550000,13.700000,14.550000,14.068213,141811
2016-10-03,14.850000,14.950000,14.650000,14.700000,14.213244,33193
2016-10-04,15.050000,15.050000,14.100000,14.400000,13.923179,53313
2016-10-05,14.500000,15.150000,13.800000,14.700000,14.213244,199864
2016-10-06,14.850000,15.550000,14.800000,15.100000,14.600000,104822
2016-10-07,15.400000,16.000000,15.100000,15.550000,15.035099,241794
2016-10-10,15.550000,15.900000,15.050000,15.400000,14.890066,104012
2016-10-13,15.050000,15.450000,14.550000,14.950000,14.454967,40957
2016-10-14,15.000000,15.300000,14.850000,15.000000,14.503311,47798
2016-10-17,14.850000,15.000000,14.350000,14.500000,14.019868,56290
2016-10-18,14.900000,15.000000,13.900000,14.200000,13.729801,122667
2016-10-19,14.400000,14.450000,13.500000,14.150000,13.681457,164664
2016-10-20,14.150000,14.700000,13.900000,14.600000,14.116556,104817
2016-10-21,14.300000,15.400000,14.250000,15.300000,14.793378,131502
2016-10-24,16.000000,16.200001,15.500000,15.900000,15.373509,164035
2016-10-25,15.900000,16.150000,15.550000,15.700000,15.180132,57155
2016-10-26,15.800000,15.800000,15.200000,15.300000,14.793378,33632
2016-10-27,15.400000,15.850000,14.550000,15.600000,15.083444,71783
2016-10-28,15.750000,17.200001,15.500000,16.500000,15.953642,130354
2016-11-01,17.400000,18.000000,16.350000,16.700001,16.147020,216176
2016-11-02,16.799999,17.100000,15.800000,16.450001,15.905298,104054
2016-11-03,16.549999,19.200001,16.299999,18.200001,17.597351,405757
2016-11-04,19.350000,19.350000,17.000000,17.250000,16.678808,220318
2016-11-07,17.500000,18.200001,16.900000,17.100000,16.533775,68773
2016-11-08,17.200001,17.400000,16.200001,16.500000,15.953642,107761
2016-11-09,14.050000,16.650000,13.200000,15.750000,15.228477,114089
2016-11-10,14.250000,17.000000,14.250000,15.700000,15.180132,191729
2016-11-11,15.400000,15.600000,14.750000,14.850000,14.358278,145213
2016-11-15,14.700000,14.850000,13.700000,13.950000,13.488079,145672
