Date,Open,High,Low,Close,Adj Close,Volume
2016-08-01,159.399994,161.649994,147.000000,151.000000,147.386292,17519
2016-08-02,149.050003,155.000000,149.050003,152.000000,148.362350,10569
2016-08-03,151.000000,151.000000,147.000000,150.199997,146.605408,6293
2016-08-04,153.949997,155.399994,148.399994,153.550003,149.875259,4705
2016-08-05,152.000000,156.949997,150.050003,153.250000,149.582443,10398
2016-08-08,159.399994,164.000000,148.399994,150.500000,146.898239,16860
2016-08-09,150.000000,152.000000,148.250000,150.000000,146.410217,15767
2016-08-10,150.000000,150.649994,146.100006,147.100006,143.579605,10880
2016-08-11,145.949997,151.000000,145.000000,145.100006,141.627487,2708
2016-08-12,145.000000,155.399994,142.149994,154.399994,150.704910,39742
2016-08-16,158.000000,165.399994,157.199997,161.399994,157.537384,136496
2016-08-17,162.750000,162.800003,157.500000,159.050003,155.243622,31693
2016-08-18,161.399994,165.000000,156.899994,157.699997,153.925919,30494
2016-08-19,159.000000,159.800003,156.000000,156.350006,152.608246,19770
2016-08-22,159.800003,159.800003,155.199997,155.850006,152.120224,23033
2016-08-23,156.000000,160.300003,154.050003,155.000000,151.290558,35551
2016-08-24,157.949997,157.949997,154.000000,154.649994,150.948929,32382
2016-08-25,155.050003,156.399994,151.100006,153.050003,149.387222,19097
2016-08-26,157.899994,161.500000,147.100006,148.399994,144.848511,35578
2016-08-29,147.000000,160.000000,147.000000,155.300003,151.583374,57186
2016-08-30,153.449997,159.000000,152.500000,154.899994,152.172791,28675
2016-08-31,153.649994,158.500000,152.000000,154.850006,152.123688,31615
2016-09-01,154.850006,157.350006,152.149994,154.100006,151.386902,12301
2016-09-02,154.100006,163.000000,154.100006,157.100006,154.334076,55992
2016-09-06,157.050003,162.399994,157.050003,158.899994,156.102371,32109
2016-09-07,159.500000,162.000000,158.000000,159.449997,156.642685,16082
2016-09-08,159.949997,164.000000,158.100006,159.199997,156.397095,85497
2016-09-09,158.000000,158.949997,155.100006,155.750000,153.007858,15348
2016-09-12,158.899994,158.899994,153.050003,154.000000,151.288651,22616
2016-09-14,160.199997,161.000000,152.300003,152.850006,150.158905,12513
2016-09-15,157.899994,157.899994,152.449997,154.949997,152.221924,13941
2016-09-16,157.500000,168.699997,155.600006,162.250000,159.393402,94151
2016-09-19,162.000000,174.949997,162.000000,170.899994,167.891113,114764
2016-09-20,173.649994,174.000000,165.100006,167.800003,164.845688,28849
2016-09-21,168.000000,175.000000,162.399994,170.000000,167.006958,36065
2016-09-22,172.000000,174.000000,166.000000,169.800003,166.810486,16033
2016-09-23,173.000000,173.000000,168.250000,169.699997,166.712234,26607
2016-09-26,164.600006,170.000000,164.000000,167.649994,164.698318,16160
2016-09-27,167.649994,185.000000,167.649994,168.449997,165.484238,34064
2016-09-28,171.000000,176.850006,170.550003,173.399994,170.347092,22666
2016-09-29,174.050003,175.000000,152.000000,162.050003,159.196930,75756
2016-09-30,163.750000,165.949997,155.000000,163.649994,160.768738,33239
2016-10-03,166.000000,181.949997,164.100006,179.500000,176.339691,90417
2016-10-04,182.800003,182.800003,177.550003,179.199997,176.044968,54136
2016-10-05,177.100006,198.000000,177.100006,194.800003,191.370331,266512
2016-10-06,198.000000,201.449997,188.000000,190.100006,186.753098,88507
2016-10-07,189.000000,193.399994,179.550003,182.699997,179.483353,64317
2016-10-10,183.000000,192.699997,183.000000,189.199997,185.868896,36698
2016-10-13,189.000000,192.649994,177.699997,182.800003,179.581604,83097
