Date,Open,High,Low,Close,Adj Close,Volume
2016-08-01,5.700000,5.700000,5.250000,5.300000,5.300000,16847
2016-08-02,5.500000,5.500000,4.950000,5.200000,5.200000,107672
2016-08-03,5.450000,5.700000,5.200000,5.650000,5.650000,117006
2016-08-04,5.900000,5.900000,5.250000,5.300000,5.300000,47345
2016-08-05,5.500000,5.500000,5.150000,5.200000,5.200000,10377
2016-08-08,5.450000,5.450000,5.000000,5.300000,5.300000,25418
2016-08-09,5.500000,5.650000,5.000000,5.250000,5.250000,22580
2016-08-10,5.650000,5.650000,4.800000,5.250000,5.250000,33038
2016-08-11,5.500000,5.500000,5.300000,5.350000,5.350000,16180
2016-08-12,5.500000,6.400000,5.500000,6.200000,6.200000,510239
2016-08-16,6.200000,6.500000,5.600000,5.750000,5.750000,134972
2016-08-17,5.850000,5.900000,5.600000,5.650000,5.650000,44667
2016-08-18,5.950000,5.950000,5.400000,5.600000,5.600000,157378
2016-08-19,5.900000,5.900000,5.500000,5.650000,5.650000,3943
2016-08-22,5.900000,5.900000,5.400000,5.650000,5.650000,61389
2016-08-23,5.750000,5.800000,5.350000,5.800000,5.800000,110716
2016-08-24,6.100000,6.100000,5.450000,5.750000,5.750000,37888
2016-08-25,6.000000,6.000000,5.650000,5.800000,5.800000,11980
2016-08-26,6.100000,6.100000,5.850000,5.950000,5.950000,22912
2016-08-29,5.700000,6.100000,5.500000,5.800000,5.800000,33204
2016-08-30,5.950000,5.950000,5.700000,5.700000,5.700000,10892
2016-08-31,6.000000,6.000000,5.550000,5.600000,5.600000,20130
2016-09-01,6.500000,6.700000,5.400000,6.450000,6.450000,93178
2016-09-02,6.500000,7.300000,6.050000,7.000000,7.000000,179174
2016-09-06,7.550000,7.900000,7.000000,7.600000,7.600000,359273
2016-09-07,7.800000,7.900000,7.100000,7.300000,7.300000,140705
2016-09-08,7.050000,7.500000,7.050000,7.450000,7.450000,122709
2016-09-09,7.400000,7.450000,7.100000,7.350000,7.350000,50063
2016-09-12,7.000000,7.450000,6.500000,6.800000,6.800000,79261
2016-09-14,7.800000,7.800000,6.100000,6.900000,6.900000,35581
2016-09-15,7.300000,7.300000,6.700000,6.900000,6.900000,37461
2016-09-16,7.300000,7.300000,6.800000,7.050000,7.050000,12878
2016-09-19,7.300000,7.300000,6.850000,7.100000,7.100000,46931
2016-09-20,7.000000,7.250000,6.700000,6.900000,6.900000,23988
2016-09-21,7.100000,7.250000,6.700000,6.750000,6.750000,37602
2016-09-22,6.950000,6.950000,6.650000,6.700000,6.700000,11531
2016-09-23,6.950000,6.950000,6.600000,6.650000,6.650000,9205
2016-09-26,6.550000,6.800000,6.550000,6.600000,6.600000,27556
2016-09-27,6.650000,6.700000,6.250000,6.550000,6.550000,30954
2016-09-28,6.400000,6.700000,6.300000,6.500000,6.500000,55752
2016-09-29,6.350000,6.900000,5.800000,6.150000,6.150000,42008
2016-09-30,6.350000,6.450000,6.050000,6.350000,6.350000,42165
2016-10-03,6.350000,6.400000,6.000000,6.400000,6.400000,18441
2016-10-04,6.100000,6.500000,6.100000,6.450000,6.450000,15596
2016-10-05,6.100000,7.400000,6.100000,7.100000,7.100000,87564
2016-10-06,7.450000,7.450000,6.900000,6.950000,6.950000,105412
2016-10-07,7.000000,7.100000,6.650000,6.800000,6.800000,625283
2016-10-10,6.700000,6.950000,6.550000,6.750000,6.750000,547257
2016-10-13,7.000000,7.000000,5.800000,6.500000,6.500000,27102
2016-10-14,6.500000,7.650000,6.100000,6.850000,6.850000,113476
2016-10-17,6.650000,7.000000,6.350000,6.500000,6.500000,57133
2016-10-18,6.500000,6.800000,6.300000,6.550000,6.550000,24589
2016-10-19,6.750000,6.750000,6.300000,6.500000,6.500000,8306
2016-10-20,6.350000,6.900000,6.350000,6.600000,6.600000,39931
2016-10-21,6.800000,6.900000,6.400000,6.700000,6.700000,38800
2016-10-24,6.550000,6.900000,6.550000,6.700000,6.700000,16285
2016-10-25,6.500000,7.750000,6.300000,7.300000,7.300000,116417
2016-10-26,7.300000,7.300000,6.800000,6.950000,6.950000,9148
2016-10-27,6.800000,7.150000,6.800000,6.950000,6.950000,17882
2016-10-28,7.000000,7.200000,6.850000,7.150000,7.150000,43553
2016-11-01,6.750000,7.300000,6.750000,7.250000,7.250000,6482
2016-11-02,6.800000,7.200000,6.700000,6.850000,6.850000,39223
2016-11-03,7.000000,7.800000,6.550000,7.500000,7.500000,310664
2016-11-04,7.800000,8.100000,7.150000,7.400000,7.400000,254578
2016-11-07,7.800000,8.200000,7.600000,7.750000,7.750000,133994
2016-11-08,8.000000,8.000000,6.900000,7.350000,7.350000,104488
