Date,Open,High,Low,Close,Adj Close,Volume
2016-08-01,42.200001,43.700001,39.099998,43.250000,43.250000,5529
2016-08-02,43.700001,43.700001,40.000000,41.549999,41.549999,1040
2016-08-03,43.500000,43.500000,40.000000,40.049999,40.049999,7551
2016-08-04,41.400002,41.450001,39.349998,40.349998,40.349998,1623
2016-08-05,44.799999,44.799999,40.349998,41.400002,41.400002,1522
2016-08-08,41.450001,41.450001,40.000000,40.500000,40.500000,4398
2016-08-09,39.950001,41.250000,39.500000,39.950001,39.950001,5038
2016-08-10,39.200001,40.450001,39.200001,40.400002,40.400002,1642
2016-08-11,39.450001,41.700001,39.099998,40.000000,40.000000,4530
2016-08-12,40.950001,41.000000,39.849998,40.950001,40.950001,2026
2016-08-16,42.250000,42.250000,39.099998,40.700001,40.700001,1105
2016-08-17,40.000000,41.000000,39.299999,40.549999,40.549999,3474
2016-08-18,41.000000,41.650002,38.900002,39.400002,39.400002,2901
2016-08-19,40.849998,41.000000,39.000000,40.799999,40.799999,7145
2016-08-22,42.349998,42.349998,40.000000,40.900002,40.900002,352
2016-08-23,43.700001,43.700001,39.549999,40.299999,40.299999,933
2016-08-24,40.849998,40.849998,39.250000,39.450001,39.450001,4913
2016-08-25,39.450001,40.000000,39.450001,39.650002,39.650002,147
2016-08-26,40.049999,40.299999,38.650002,39.750000,39.750000,15277
2016-08-29,38.750000,43.700001,38.700001,41.599998,41.599998,19353
2016-08-30,40.349998,42.000000,39.900002,40.000000,40.000000,3469
2016-08-31,41.500000,41.500000,39.650002,39.650002,39.650002,1908
2016-09-01,40.000000,41.200001,39.650002,41.099998,41.099998,2691
2016-09-02,41.099998,43.500000,39.750000,40.950001,40.950001,21827
2016-09-06,40.000000,42.400002,39.799999,40.849998,40.849998,1518
2016-09-07,40.049999,40.599998,39.450001,40.299999,40.299999,2475
2016-09-08,40.349998,40.500000,39.799999,40.450001,40.450001,1675
2016-09-09,39.900002,40.400002,39.099998,39.599998,39.599998,3213
2016-09-12,38.900002,40.349998,38.500000,40.299999,40.299999,2085
2016-09-14,40.150002,40.150002,38.000000,38.549999,38.549999,6400
2016-09-15,38.200001,38.950001,36.750000,37.250000,37.250000,5527
2016-09-16,40.599998,40.599998,37.549999,37.700001,37.700001,6442
2016-09-19,37.000000,38.549999,36.500000,37.450001,37.450001,3004
2016-09-20,36.799999,38.450001,36.799999,37.250000,37.250000,10615
2016-09-21,37.099998,37.450001,36.799999,37.000000,37.000000,7653
2016-09-22,36.099998,37.900002,36.099998,37.400002,37.400002,5500
2016-09-23,38.650002,39.849998,37.099998,38.500000,38.500000,3716
2016-09-26,38.500000,38.500000,37.349998,38.150002,38.150002,4426
2016-09-27,37.299999,38.799999,37.000000,37.049999,37.049999,6295
2016-09-28,38.000000,38.000000,36.849998,37.000000,37.000000,2018
2016-09-29,36.900002,37.750000,33.799999,34.200001,34.200001,10011
2016-09-30,36.950001,36.950001,33.299999,36.299999,36.299999,3400
2016-10-03,36.299999,39.599998,36.049999,37.299999,37.299999,8303
2016-10-04,38.000000,38.750000,36.650002,38.650002,38.650002,2239
