Date,Open,High,Low,Close,Adj Close,Volume
2016-08-01,1.900000,1.900000,1.900000,1.900000,1.900000,501
2016-08-02,1.900000,1.900000,1.900000,1.900000,1.900000,0
2016-08-03,1.900000,1.900000,1.900000,1.900000,1.900000,0
2016-08-04,1.850000,1.950000,1.850000,1.950000,1.950000,151
2016-08-05,2.000000,2.000000,2.000000,2.000000,2.000000,100
2016-08-08,2.000000,2.000000,2.000000,2.000000,2.000000,0
2016-08-09,2.000000,2.000000,2.000000,2.000000,2.000000,0
2016-08-10,2.000000,2.000000,2.000000,2.000000,2.000000,0
2016-08-11,2.000000,2.000000,2.000000,2.000000,2.000000,0
2016-08-12,2.000000,2.000000,2.000000,2.000000,2.000000,0
2016-08-16,2.000000,2.000000,2.000000,2.000000,2.000000,0
2016-08-17,2.000000,2.000000,2.000000,2.000000,2.000000,0
2016-08-18,2.050000,2.050000,2.050000,2.050000,2.050000,100
2016-08-19,2.050000,2.050000,2.050000,2.050000,2.050000,0
2016-08-22,2.050000,2.050000,2.050000,2.050000,2.050000,0
2016-08-23,2.000000,2.000000,2.000000,2.000000,2.000000,30
2016-08-24,2.000000,2.000000,2.000000,2.000000,2.000000,0
2016-08-25,2.000000,2.000000,2.000000,2.000000,2.000000,0
2016-08-26,2.100000,2.100000,2.100000,2.100000,2.100000,1
2016-08-29,2.000000,2.200000,2.000000,2.200000,2.200000,2
2016-08-30,2.300000,2.300000,2.300000,2.300000,2.300000,1
2016-08-31,2.400000,2.400000,2.200000,2.400000,2.400000,35
2016-09-01,2.400000,2.400000,2.400000,2.400000,2.400000,0
2016-09-02,2.500000,2.500000,2.500000,2.500000,2.500000,1
2016-09-06,2.400000,2.400000,2.400000,2.400000,2.400000,870
2016-09-07,2.300000,2.300000,2.300000,2.300000,2.300000,75
2016-09-08,2.400000,2.400000,2.400000,2.400000,2.400000,25
2016-09-09,2.500000,2.500000,2.400000,2.400000,2.400000,450
2016-09-12,2.400000,2.400000,2.400000,2.400000,2.400000,0
2016-09-14,2.400000,2.400000,2.400000,2.400000,2.400000,15
2016-09-15,2.500000,2.500000,2.500000,2.500000,2.500000,1
2016-09-16,2.500000,2.500000,2.500000,2.500000,2.500000,1
2016-09-19,2.500000,2.500000,2.500000,2.500000,2.500000,31
2016-09-20,2.400000,2.400000,2.400000,2.400000,2.400000,1
2016-09-21,2.500000,2.500000,2.500000,2.500000,2.500000,10001
2016-09-22,2.500000,2.500000,2.500000,2.500000,2.500000,0
2016-09-23,2.500000,2.500000,2.500000,2.500000,2.500000,5
2016-09-26,2.400000,2.400000,2.400000,2.400000,2.400000,1
2016-09-27,2.400000,2.400000,2.400000,2.400000,2.400000,0
2016-09-28,2.400000,2.400000,2.400000,2.400000,2.400000,0
2016-09-29,2.400000,2.400000,2.300000,2.300000,2.300000,11
2016-09-30,2.300000,2.300000,2.300000,2.300000,2.300000,0
2016-10-03,2.200000,2.200000,2.200000,2.200000,2.200000,5
2016-10-04,2.200000,2.200000,2.200000,2.200000,2.200000,0
2016-10-05,2.200000,2.200000,2.200000,2.200000,2.200000,0
2016-10-06,2.200000,2.200000,2.200000,2.200000,2.200000,20
2016-10-07,2.100000,2.100000,2.100000,2.100000,2.100000,1000
2016-10-10,2.000000,2.100000,2.000000,2.100000,2.100000,41
2016-10-13,2.100000,2.100000,2.100000,2.100000,2.100000,0
2016-10-14,2.000000,2.200000,2.000000,2.200000,2.200000,2500
2016-10-17,2.300000,2.300000,2.150000,2.200000,2.200000,6529
2016-10-18,2.200000,2.200000,2.200000,2.200000,2.200000,0
2016-10-19,2.100000,2.100000,2.100000,2.100000,2.100000,2643
2016-10-20,2.000000,2.050000,2.000000,2.050000,2.050000,3725
2016-10-21,1.950000,2.000000,1.950000,2.000000,2.000000,6
2016-10-24,2.100000,2.100000,2.000000,2.000000,2.000000,342
2016-10-25,2.000000,2.100000,1.900000,2.100000,2.100000,3695
2016-10-26,2.000000,2.200000,2.000000,2.200000,2.200000,6000
2016-10-27,2.300000,2.300000,2.250000,2.250000,2.250000,75
2016-10-28,2.150000,2.150000,2.150000,2.150000,2.150000,900
2016-11-01,2.050000,2.050000,2.050000,2.050000,2.050000,45
2016-11-02,2.050000,2.050000,2.050000,2.050000,2.050000,13
2016-11-03,2.050000,2.050000,2.050000,2.050000,2.050000,20
2016-11-04,1.950000,1.950000,1.950000,1.950000,1.950000,410
2016-11-07,1.950000,1.950000,1.950000,1.950000,1.950000,500
2016-11-08,2.000000,2.000000,2.000000,2.000000,2.000000,500
2016-11-09,1.900000,1.900000,1.900000,1.900000,1.900000,1
2016-11-10,1.900000,1.900000,1.900000,1.900000,1.900000,625
2016-11-11,1.900000,1.900000,1.900000,1.900000,1.900000,0
2016-11-15,1.900000,1.900000,1.900000,1.900000,1.900000,0
2016-11-16,1.900000,1.900000,1.900000,1.900000,1.900000,0
2016-11-17,1.900000,1.900000,1.900000,1.900000,1.900000,0
2016-11-18,1.900000,1.900000,1.900000,1.900000,1.900000,0
2016-11-21,1.900000,1.900000,1.900000,1.900000,1.900000,0
2016-11-22,1.900000,1.900000,1.900000,1.900000,1.900000,0
2016-11-23,1.900000,1.900000,1.900000,1.900000,1.900000,0
2016-11-24,1.900000,1.900000,1.900000,1.900000,1.900000,0
2016-11-25,1.850000,1.900000,1.850000,1.900000,1.900000,1011
2016-11-28,1.900000,1.900000,1.900000,1.900000,1.900000,100
2016-11-29,1.900000,1.900000,1.900000,1.900000,1.900000,0
2016-11-30,1.900000,1.900000,1.900000,1.900000,1.900000,0
2016-12-01,1.900000,1.900000,1.900000,1.900000,1.900000,100
2016-12-02,1.900000,1.900000,1.900000,1.900000,1.900000,2
2016-12-05,1.900000,1.900000,1.900000,1.900000,1.900000,0
2016-12-06,1.900000,1.950000,1.900000,1.950000,1.950000,1033
2016-12-07,1.900000,1.900000,1.900000,1.900000,1.900000,170
2016-12-08,1.900000,1.900000,1.900000,1.900000,1.900000,0
2016-12-09,1.950000,1.950000,1.950000,1.950000,1.950000,200
2016-12-12,1.950000,1.950000,1.950000,1.950000,1.950000,0
2016-12-13,2.000000,2.000000,2.000000,2.000000,2.000000,25
2016-12-14,2.000000,2.000000,2.000000,2.000000,2.000000,0
2016-12-15,1.900000,2.000000,1.900000,2.000000,2.000000,1144
2016-12-16,2.000000,2.000000,2.000000,2.000000,2.000000,1000
2016-12-19,1.900000,2.100000,1.900000,2.100000,2.100000,143
2016-12-20,2.000000,2.100000,2.000000,2.100000,2.100000,108
2016-12-21,2.200000,2.200000,2.200000,2.200000,2.200000,1
2016-12-22,2.250000,2.250000,2.250000,2.250000,2.250000,1
2016-12-23,2.250000,2.250000,2.250000,2.250000,2.250000,0
2016-12-26,2.250000,2.250000,2.250000,2.250000,2.250000,0
2016-12-27,2.250000,2.250000,2.250000,2.250000,2.250000,0
2016-12-28,2.250000,2.250000,2.250000,2.250000,2.250000,0
2016-12-29,2.150000,2.150000,2.150000,2.150000,2.150000,1000
2016-12-30,2.150000,2.150000,2.150000,2.150000,2.150000,0
2017-01-02,2.100000,2.100000,2.100000,2.100000,2.100000,500
2017-01-03,2.000000,2.000000,2.000000,2.000000,2.000000,11
2017-01-04,2.000000,2.000000,2.000000,2.000000,2.000000,731
2017-01-05,2.000000,2.000000,2.000000,2.000000,2.000000,0
2017-01-06,1.900000,1.900000,1.900000,1.900000,1.900000,1000
2017-01-09,1.950000,1.950000,1.900000,1.900000,1.900000,7822
2017-01-10,1.900000,1.900000,1.900000,1.900000,1.900000,0
2017-01-11,1.900000,1.900000,1.900000,1.900000,1.900000,0
2017-01-12,1.850000,1.900000,1.850000,1.850000,1.850000,2617
2017-01-13,1.850000,1.850000,1.850000,1.850000,1.850000,1150
2017-01-16,1.850000,1.850000,1.850000,1.850000,1.850000,0
2017-01-17,1.850000,1.850000,1.850000,1.850000,1.850000,0
2017-01-18,1.850000,1.850000,1.850000,1.850000,1.850000,0
2017-01-19,1.850000,1.850000,1.850000,1.850000,1.850000,2500
2017-01-20,1.850000,1.850000,1.850000,1.850000,1.850000,0
2017-01-23,1.850000,1.850000,1.850000,1.850000,1.850000,88
2017-01-24,1.850000,1.850000,1.850000,1.850000,1.850000,0
2017-01-25,1.850000,1.850000,1.850000,1.850000,1.850000,0
2017-01-27,1.850000,1.850000,1.850000,1.850000,1.850000,0
2017-01-30,1.850000,1.850000,1.850000,1.850000,1.850000,0
2017-01-31,1.800000,1.800000,1.800000,1.800000,1.800000,50
2017-02-01,1.800000,1.800000,1.800000,1.800000,1.800000,0
2017-02-02,1.750000,1.750000,1.750000,1.750000,1.750000,100
2017-02-03,1.750000,1.750000,1.700000,1.700000,1.700000,333
2017-02-06,1.750000,1.750000,1.650000,1.650000,1.650000,500
2017-02-07,1.700000,1.700000,1.700000,1.700000,1.700000,80
2017-02-08,1.750000,1.750000,1.750000,1.750000,1.750000,100
2017-02-09,1.800000,1.800000,1.800000,1.800000,1.800000,1000
2017-02-10,1.850000,1.850000,1.850000,1.850000,1.850000,2
2017-02-13,1.900000,1.900000,1.900000,1.900000,1.900000,1010
2017-02-14,1.900000,1.900000,1.900000,1.900000,1.900000,0
2017-02-15,1.900000,1.900000,1.900000,1.900000,1.900000,0
2017-02-16,1.900000,1.900000,1.900000,1.900000,1.900000,100
2017-02-17,1.900000,1.900000,1.900000,1.900000,1.900000,0
2017-02-20,1.900000,1.900000,1.900000,1.900000,1.900000,0
2017-02-21,1.850000,1.850000,1.850000,1.850000,1.850000,500
2017-02-22,1.800000,1.800000,1.800000,1.800000,1.800000,100
2017-02-23,1.800000,1.800000,1.800000,1.800000,1.800000,0
2017-02-27,1.750000,1.750000,1.750000,1.750000,1.750000,51
2017-02-28,1.750000,1.750000,1.750000,1.750000,1.750000,0
2017-03-01,1.750000,1.750000,1.750000,1.750000,1.750000,0
2017-03-02,1.750000,1.750000,1.750000,1.750000,1.750000,0
2017-03-03,1.750000,1.750000,1.750000,1.750000,1.750000,0
2017-03-06,1.750000,1.750000,1.750000,1.750000,1.750000,0
2017-03-07,1.750000,1.750000,1.750000,1.750000,1.750000,0
2017-03-08,1.700000,1.700000,1.700000,1.700000,1.700000,300
2017-03-09,1.750000,1.750000,1.750000,1.750000,1.750000,1
2017-03-10,1.750000,1.750000,1.750000,1.750000,1.750000,0
2017-03-14,1.800000,1.800000,1.800000,1.800000,1.800000,445
2017-03-15,1.800000,1.800000,1.800000,1.800000,1.800000,0
2017-03-16,1.800000,1.800000,1.800000,1.800000,1.800000,0
2017-03-17,1.800000,1.850000,1.800000,1.850000,1.850000,4400
2017-03-20,1.850000,1.850000,1.850000,1.850000,1.850000,0
2017-03-21,1.850000,1.850000,1.850000,1.850000,1.850000,0
2017-03-22,1.800000,1.800000,1.800000,1.800000,1.800000,107
2017-03-23,1.800000,1.800000,1.800000,1.800000,1.800000,302
2017-03-24,1.800000,1.800000,1.800000,1.800000,1.800000,0
2017-03-27,1.800000,1.800000,1.800000,1.800000,1.800000,0
2017-03-28,1.800000,1.800000,1.800000,1.800000,1.800000,10
2017-03-29,1.850000,1.850000,1.850000,1.850000,1.850000,170
2017-03-30,1.850000,1.850000,1.850000,1.850000,1.850000,0
2017-03-31,1.850000,1.850000,1.850000,1.850000,1.850000,0
2017-04-03,1.850000,1.850000,1.850000,1.850000,1.850000,0
2017-04-05,1.850000,1.850000,1.850000,1.850000,1.850000,0
2017-04-06,1.850000,1.850000,1.850000,1.850000,1.850000,0
2017-04-07,1.850000,1.850000,1.850000,1.850000,1.850000,0
2017-04-10,1.850000,1.850000,1.850000,1.850000,1.850000,200
2017-04-11,1.800000,1.800000,1.800000,1.800000,1.800000,200
2017-04-12,1.800000,1.850000,1.800000,1.850000,1.850000,1000
2017-04-13,1.850000,1.900000,1.850000,1.900000,1.900000,611
2017-04-17,1.900000,1.900000,1.900000,1.900000,1.900000,3
2017-04-18,1.950000,1.950000,1.950000,1.950000,1.950000,2
2017-04-19,1.950000,1.950000,1.950000,1.950000,1.950000,0
2017-04-20,1.900000,1.900000,1.900000,1.900000,1.900000,123
2017-04-21,1.900000,1.950000,1.850000,1.950000,1.950000,12239
2017-04-24,2.000000,2.000000,1.950000,2.000000,2.000000,2129
2017-04-25,2.050000,2.050000,2.000000,2.000000,2.000000,20
2017-04-26,2.000000,2.000000,2.000000,2.000000,2.000000,0
2017-04-27,2.000000,2.000000,1.900000,1.900000,1.900000,106
2017-04-28,1.900000,1.900000,1.900000,1.900000,1.900000,0
2017-05-02,1.900000,1.900000,1.900000,1.900000,1.900000,0
2017-05-03,1.900000,1.900000,1.900000,1.900000,1.900000,0
2017-05-04,1.900000,1.900000,1.900000,1.900000,1.900000,0
2017-05-05,1.950000,1.950000,1.950000,1.950000,1.950000,13
2017-05-08,1.950000,1.950000,1.950000,1.950000,1.950000,1050
2017-05-09,1.950000,1.950000,1.950000,1.950000,1.950000,150
2017-05-10,1.950000,1.950000,1.950000,1.950000,1.950000,1
2017-05-11,1.950000,1.950000,1.950000,1.950000,1.950000,0
2017-05-12,1.900000,1.900000,1.900000,1.900000,1.900000,500
2017-05-15,1.900000,1.900000,1.900000,1.900000,1.900000,0
2017-05-16,1.850000,1.850000,1.850000,1.850000,1.850000,500
2017-05-17,1.850000,1.850000,1.850000,1.850000,1.850000,30
2017-05-18,1.850000,1.850000,1.850000,1.850000,1.850000,0
2017-05-19,1.850000,1.900000,1.850000,1.900000,1.900000,500
2017-05-22,1.900000,1.950000,1.900000,1.900000,1.900000,293
2017-05-23,1.900000,1.900000,1.900000,1.900000,1.900000,0
2017-05-24,1.900000,1.900000,1.900000,1.900000,1.900000,0
2017-05-25,1.900000,1.900000,1.900000,1.900000,1.900000,0
2017-05-26,1.950000,1.950000,1.950000,1.950000,1.950000,96
2017-05-29,1.950000,1.950000,1.950000,1.950000,1.950000,0
2017-05-30,1.950000,1.950000,1.950000,1.950000,1.950000,0
2017-05-31,1.950000,1.950000,1.950000,1.950000,1.950000,0
2017-06-01,1.950000,1.950000,1.950000,1.950000,1.950000,0
2017-06-02,1.950000,1.950000,1.950000,1.950000,1.950000,0
2017-06-05,1.950000,1.950000,1.950000,1.950000,1.950000,100
2017-06-06,1.950000,1.950000,1.950000,1.950000,1.950000,0
2017-06-07,1.950000,1.950000,1.950000,1.950000,1.950000,0
2017-06-08,1.950000,2.000000,1.950000,2.000000,2.000000,167
2017-06-09,2.100000,2.100000,2.100000,2.100000,2.100000,50
2017-06-12,2.100000,2.100000,2.100000,2.100000,2.100000,0
2017-06-13,2.000000,2.000000,2.000000,2.000000,2.000000,115
2017-06-14,2.000000,2.000000,2.000000,2.000000,2.000000,0
2017-06-15,2.000000,2.000000,2.000000,2.000000,2.000000,0
2017-06-16,2.000000,2.000000,2.000000,2.000000,2.000000,0
2017-06-19,2.000000,2.000000,2.000000,2.000000,2.000000,0
2017-06-20,2.000000,2.000000,2.000000,2.000000,2.000000,0
2017-06-21,1.900000,1.900000,1.900000,1.900000,1.900000,2
2017-06-22,1.900000,1.900000,1.900000,1.900000,1.900000,150
