Date,Open,High,Low,Close,Adj Close,Volume
2016-08-01,82.550003,84.300003,81.099998,81.699997,81.364212,53326
2016-08-02,82.199997,84.400002,82.000000,82.550003,82.210732,86459
2016-08-03,82.500000,85.449997,82.000000,82.449997,82.111137,124177
2016-08-04,84.300003,85.000000,83.000000,84.300003,83.953537,87929
2016-08-05,84.300003,87.000000,82.699997,83.750000,83.405800,183939
2016-08-08,85.900002,86.400002,81.900002,82.349998,82.011543,51848
2016-08-09,75.000000,80.400002,75.000000,77.550003,77.231277,146667
2016-08-10,79.900002,79.949997,77.000000,77.300003,76.982307,35406
2016-08-11,78.000000,78.449997,76.050003,76.400002,76.086006,27026
2016-08-12,76.050003,78.400002,75.699997,76.000000,75.687653,33199
2016-08-16,76.449997,76.900002,74.599998,76.199997,75.886826,27259
2016-08-17,75.349998,77.000000,74.599998,75.150002,74.841148,38785
2016-08-18,75.099998,81.900002,74.849998,79.050003,78.725113,192224
2016-08-19,79.849998,81.199997,77.500000,79.599998,79.272850,57895
2016-08-22,78.349998,81.500000,78.349998,79.250000,78.924286,34008
2016-08-23,80.250000,80.900002,77.650002,79.800003,79.472031,36872
2016-08-24,81.400002,81.400002,79.099998,79.150002,78.824699,41891
2016-08-25,79.599998,80.500000,78.050003,78.449997,78.127579,32179
2016-08-26,77.349998,79.550003,77.099998,77.550003,77.231277,16260
2016-08-29,79.250000,79.250000,76.099998,76.500000,76.185593,13691
2016-08-30,76.650002,78.500000,75.750000,76.599998,76.285179,19734
2016-08-31,76.150002,78.900002,75.650002,77.449997,77.131683,41192
2016-09-01,78.400002,78.900002,76.250000,77.000000,76.683540,26326
2016-09-02,78.449997,78.500000,75.449997,75.800003,75.488472,30659
2016-09-06,76.500000,78.900002,75.500000,76.500000,76.185593,78959
2016-09-07,75.599998,78.000000,75.500000,75.849998,75.538261,39185
2016-09-08,75.650002,81.349998,75.650002,80.099998,79.770790,155131
2016-09-09,80.099998,80.750000,77.400002,78.000000,77.679428,65515
2016-09-12,75.599998,81.699997,75.599998,78.949997,78.625519,99932
2016-09-14,78.349998,84.199997,78.349998,81.750000,81.414009,172568
2016-09-15,82.849998,88.400002,80.500000,87.349998,87.097542,377035
2016-09-16,89.500000,91.349998,84.000000,84.800003,84.554916,219836
2016-09-19,85.050003,87.500000,81.400002,83.750000,83.507950,130779
2016-09-20,82.650002,84.650002,81.500000,81.849998,81.613441,54271
2016-09-21,82.800003,83.000000,79.099998,79.500000,79.270233,66125
2016-09-22,80.849998,81.349998,78.500000,79.199997,78.971092,60371
2016-09-23,79.949997,80.000000,77.650002,78.000000,77.774567,72704
2016-09-26,78.099998,78.599998,76.500000,77.500000,77.276009,52745
2016-09-27,78.449997,83.949997,77.250000,82.449997,82.211700,316399
2016-09-28,83.199997,83.199997,80.599998,81.300003,81.065033,71309
2016-09-29,82.699997,85.500000,74.000000,76.000000,75.780350,261031
2016-09-30,74.949997,79.949997,74.949997,79.000000,78.771675,48242
2016-10-03,80.250000,82.750000,79.349998,80.800003,80.566475,56561
2016-10-04,82.449997,82.449997,79.400002,80.650002,80.416908,49657
2016-10-05,81.699997,81.849998,78.650002,79.800003,79.569366,57215
2016-10-06,80.349998,82.000000,79.000000,79.199997,78.971092,40299
2016-10-07,78.099998,79.900002,78.099998,78.550003,78.322983,20470
2016-10-10,78.300003,79.650002,77.400002,78.199997,77.973984,25286
2016-10-13,77.500000,79.000000,75.000000,75.750000,75.531067,65247
2016-10-14,76.000000,77.650002,75.000000,76.449997,76.229042,34379
2016-10-17,76.699997,78.800003,75.000000,75.550003,75.331650,27750
2016-10-18,75.099998,78.800003,75.099998,78.050003,77.824425,38542
2016-10-19,79.000000,79.949997,77.000000,78.449997,78.223267,140401
2016-10-20,79.000000,81.699997,78.000000,78.949997,78.721817,104316
2016-10-21,79.349998,82.400002,78.250000,79.150002,78.921242,154058
2016-10-24,79.699997,79.849998,78.000000,78.199997,77.973984,44219
2016-10-25,78.849998,79.050003,76.800003,77.750000,77.525291,30149
2016-10-26,78.000000,78.400002,76.349998,77.000000,76.777458,24072
