,symbol,avgvol,avgvwap,avgdelvol,avgpctdel
0,20MICRONS,190267.293877551,46.87714285714287,87759.01224489795,0.5506930612244897
1,21STCENMGM,3566.080459770115,38.178045977011514,3365.735632183908,0.9527379310344829
2,3MINDIA,2071.2448979591836,18331.109836734708,1462.469387755102,0.712709795918367
3,5PAISA,22818.85185185185,346.16940740740756,13344.822222222223,0.667979259259259
4,63MOONS,730129.4653061224,95.21873469387745,199763.3387755102,0.38301387755102045
5,8KMILES,369466.7224489796,643.698897959184,100596.17142857143,0.35785959183673477
6,A2ZINFRA,1368486.9265306122,32.127673469387766,605718.9306122449,0.4969485714285714
7,AARTIDRUGS,18245.571428571428,567.8783673469391,8470.877551020409,0.6334783673469385
8,AARTIIND,46559.35510204082,1094.7908979591848,29017.183673469386,0.6704648979591837
9,AARVEEDEN,66896.91666666667,42.695588235294125,36655.46078431373,0.677917156862745
10,ABAN,1543195.6530612244,172.14310204081636,285737.5755102041,0.22300693877551014
11,ABB,70168.1918367347,1350.4388163265319,42190.88979591837,0.5588261224489796
12,ABBOTINDIA,7081.228571428572,5680.105551020408,4754.787755102041,0.7192444897959185
13,ABCAPITAL,2942847.4405286345,165.106651982379,1729705.1101321585,0.5959977973568285
14,ABFRL,766211.5632653062,155.07236734693873,474887.8693877551,0.6479963265306126
15,ACC,461365.8163265306,1608.1006530612244,171777.2081632653,0.3581595918367348
16,ACCELYA,5855.567346938776,1334.5866530612245,4837.179591836734,0.7866779591836733
17,ACE,901856.8326530613,137.9030204081633,321558.2448979592,0.42963836734693894
18,ADANIENT,8403802.306122448,150.983918367347,1182719.4571428571,0.14805428571428578
19,ADANIGREEN,1413458.9666666666,45.10366666666666,616804.3333333334,0.6067933333333334
20,ADANIPORTS,3359918.6489795917,394.5489795918367,1662514.9387755103,0.46670775510204077
21,ADANIPOWER,18775103.330612246,29.209632653061213,3904726.8408163264,0.2284293877551022
22,ADANITRANS,1269715.9224489797,178.040081632653,534551.0489795918,0.3832995918367347
23,ADFFOODS,284541.3387755102,253.9309795918366,96094.25306122449,0.3871595918367347
24,ADHUNIKIND,59018.48837209302,67.23519379844963,25168.976744186046,0.5350426356589149
25,ADLABS,335168.20430107525,52.998978494623636,134035.70967741936,0.5056510752688171
26,ADORWELD,57060.171428571426,431.8331836734694,15448.244897959185,0.4535534693877551
27,ADSL,44050.064676616916,20.333482587064672,29285.2039800995,0.7010402985074634
28,ADVANIHOTR,40376.90204081633,62.67273469387757,19292.428571428572,0.6149808163265305
29,ADVENZYMES,267440.4040816327,250.87253061224487,122933.59591836734,0.4790032653061223
30,AEGISCHEM,246148.14693877552,249.07832653061246,133915.44081632653,0.570855918367347
31,AFL,13587.01935483871,54.941548387096745,9502.670967741935,0.7441174193548387
32,AGARIND,7114.152542372882,277.96423728813556,4199.338983050848,0.7321966101694916
33,AGCNET,15821.563981042655,115.90763033175348,7327.616113744076,0.7189843601895731
34,AGLSL,12556.151020408162,108.60579591836726,9139.175510204082,0.7391857142857141
35,AGRITECH,67742.55918367347,119.4206530612245,28149.604081632653,0.5612477551020411
